cells,ens_id,gene
T_memory,ENSG00000186891,TNFRSF18
T_memory,ENSG00000224051,CPTP
T_memory,ENSG00000160075,SSU72
T_memory,ENSG00000215790,SLC35E2A
T_memory,ENSG00000157873,TNFRSF14
T_memory,ENSG00000069424,KCNAB2
T_memory,ENSG00000116288,PARK7
T_memory,ENSG00000049239,H6PD
T_memory,ENSG00000162441,LZIC
T_memory,ENSG00000116138,DNAJC16
T_memory,ENSG00000037637,FBXO42
T_memory,ENSG00000219481,NBPF1
T_memory,ENSG00000058453,CROCC
T_memory,ENSG00000238142,BX284668.5
T_memory,ENSG00000162545,CAMK2N1
T_memory,ENSG00000070831,CDC42
T_memory,ENSG00000142676,RPL11
T_memory,ENSG00000183726,TMEM50A
T_memory,ENSG00000157978,LDLRAP1
T_memory,ENSG00000117632,STMN1
T_memory,ENSG00000158006,PAFAH2
T_memory,ENSG00000142684,ZNF593
T_memory,ENSG00000142675,CNKSR1
T_memory,ENSG00000169442,CD52
T_memory,ENSG00000060642,PIGV
T_memory,ENSG00000158195,WASF2
T_memory,ENSG00000130775,THEMIS2
T_memory,ENSG00000117748,RPA2
T_memory,ENSG00000270605,AL353622.1
T_memory,ENSG00000204138,PHACTR4
T_memory,ENSG00000184007,PTP4A2
T_memory,ENSG00000163875,MEAF6
T_memory,ENSG00000183386,FHL3
T_memory,ENSG00000168653,NDUFS5
T_memory,ENSG00000090621,PABPC4
T_memory,ENSG00000084072,PPIE
T_memory,ENSG00000131238,PPT1
T_memory,ENSG00000238287,AL603839.3
T_memory,ENSG00000164002,EXO5
T_memory,ENSG00000117010,ZNF684
T_memory,ENSG00000127124,HIVEP3
T_memory,ENSG00000198198,SZT2
T_memory,ENSG00000142937,RPS8
T_memory,ENSG00000132781,MUTYH
T_memory,ENSG00000280670,CCDC163
T_memory,ENSG00000117450,PRDX1
T_memory,ENSG00000197429,IPP
T_memory,ENSG00000117481,NSUN4
T_memory,ENSG00000079277,MKNK1
T_memory,ENSG00000162368,CMPK1
T_memory,ENSG00000085832,EPS15
T_memory,ENSG00000134744,TUT4
T_memory,ENSG00000116157,GPX7
T_memory,ENSG00000182183,SHISAL2A
T_memory,ENSG00000162384,C1orf123
T_memory,ENSG00000213625,LEPROT
