cells,ens_id,gene
T_naive,ENSG00000131591,C1orf159
T_naive,ENSG00000221978,CCNL2
T_naive,ENSG00000242485,MRPL20
T_naive,ENSG00000157881,PANK4
T_naive,ENSG00000142606,MMEL1
T_naive,ENSG00000235169,SMIM1
T_naive,ENSG00000049246,PER3
T_naive,ENSG00000116288,PARK7
T_naive,ENSG00000074800,ENO1
T_naive,ENSG00000049239,H6PD
T_naive,ENSG00000130939,UBE4B
T_naive,ENSG00000116670,MAD2L2
T_naive,ENSG00000177674,AGTRAP
T_naive,ENSG00000177000,MTHFR
T_naive,ENSG00000116138,DNAJC16
T_naive,ENSG00000132881,CPLANE2
T_naive,ENSG00000159339,PADI4
T_naive,ENSG00000158747,NBL1
T_naive,ENSG00000142676,RPL11
T_naive,ENSG00000157978,LDLRAP1
T_naive,ENSG00000117632,STMN1
T_naive,ENSG00000158006,PAFAH2
T_naive,ENSG00000142684,ZNF593
T_naive,ENSG00000169442,CD52
T_naive,ENSG00000060642,PIGV
T_naive,ENSG00000158195,WASF2
T_naive,ENSG00000009780,FAM76A
T_naive,ENSG00000130775,THEMIS2
T_naive,ENSG00000158161,EYA3
T_naive,ENSG00000270605,AL353622.1
T_naive,ENSG00000182866,LCK
T_naive,ENSG00000146463,ZMYM4
T_naive,ENSG00000142686,C1orf216
T_naive,ENSG00000163875,MEAF6
T_naive,ENSG00000183386,FHL3
T_naive,ENSG00000168653,NDUFS5
T_naive,ENSG00000127603,MACF1
T_naive,ENSG00000090621,PABPC4
T_naive,ENSG00000116983,HPCAL4
T_naive,ENSG00000084072,PPIE
T_naive,ENSG00000127124,HIVEP3
T_naive,ENSG00000164008,C1orf50
T_naive,ENSG00000142937,RPS8
T_naive,ENSG00000280670,CCDC163
T_naive,ENSG00000117450,PRDX1
T_naive,ENSG00000197429,IPP
T_naive,ENSG00000173660,UQCRH
T_naive,ENSG00000117481,NSUN4
T_naive,ENSG00000162373,BEND5
T_naive,ENSG00000058799,YIPF1
T_naive,ENSG00000142856,ITGB3BP
T_naive,ENSG00000213625,LEPROT
T_naive,ENSG00000118454,ANKRD13C
T_naive,ENSG00000162620,LRRIQ3
T_naive,ENSG00000117054,ACADM
T_naive,ENSG00000174021,GNG5
T_naive,ENSG00000117174,ZNHIT6
T_naive,ENSG00000097033,SH3GLB1
T_naive,ENSG00000137944,KYAT3
T_naive,ENSG00000117226,GBP3
T_naive,ENSG00000171488,LRRC8C
T_naive,ENSG00000117505,DR1
T_naive,ENSG00000117569,PTBP2
T_naive,ENSG00000117620,SLC35A3
T_naive,ENSG00000137996,RTCA
T_naive,ENSG00000198890,PRMT6
T_naive,ENSG00000085491,SLC25A24
T_naive,ENSG00000162639,HENMT1
T_naive,ENSG00000134202,GSTM3
T_naive,ENSG00000168679,SLC16A4
T_naive,ENSG00000177272,KCNA3
T_naive,ENSG00000143119,CD53
T_naive,ENSG00000121931,LRIF1
T_naive,ENSG00000156171,DRAM2
T_naive,ENSG00000064886,CHI3L2
T_naive,ENSG00000081019,RSBN1
T_naive,ENSG00000198162,MAN1A2
T_naive,ENSG00000092621,PHGDH
