cell_type,pseud_wind,Time_point,cells
memory,win1,0h,30880
memory,win1,16h,328
memory,win1,40h,29
memory,win1,5d,8
memory,win2,0h,30787
memory,win2,16h,396
memory,win2,40h,51
memory,win2,5d,11
memory,win3,0h,20940
memory,win3,16h,7319
memory,win3,40h,2485
memory,win3,5d,501
memory,win4,0h,163
memory,win4,16h,19030
memory,win4,40h,11043
memory,win4,5d,1008
memory,win5,16h,16189
memory,win5,40h,14375
memory,win5,5d,681
memory,win6,0h,2
memory,win6,16h,17638
memory,win6,40h,10102
memory,win6,5d,3503
memory,win7,0h,8
memory,win7,16h,10370
memory,win7,40h,8291
memory,win7,5d,12575
memory,win8,0h,4
memory,win8,16h,5876
memory,win8,40h,12783
memory,win8,5d,12582
memory,win9,0h,16
memory,win9,16h,2305
memory,win9,40h,7959
memory,win9,5d,20965
memory,win10,0h,3
memory,win10,16h,110
memory,win10,40h,7743
memory,win10,5d,23389
naive,win1,0h,33566
naive,win1,16h,704
naive,win1,40h,19
naive,win1,5d,2
naive,win2,0h,33579
naive,win2,16h,691
naive,win2,40h,18
naive,win2,5d,2
naive,win3,0h,23600
naive,win3,16h,8478
naive,win3,40h,2096
naive,win3,5d,116
naive,win4,0h,244
naive,win4,16h,24520
naive,win4,40h,9109
naive,win4,5d,417
naive,win5,16h,29127
naive,win5,40h,4239
naive,win5,5d,924
naive,win6,16h,20556
naive,win6,40h,7157
naive,win6,5d,6577
naive,win7,16h,2851
naive,win7,40h,24853
naive,win7,5d,6586
naive,win8,16h,104
naive,win8,40h,25248
naive,win8,5d,8938
naive,win9,16h,27
naive,win9,40h,12323
naive,win9,5d,21940
naive,win10,0h,1
naive,win10,16h,3
naive,win10,40h,63
naive,win10,5d,34223
